trip_id,starttime,stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear,year,month,season,start_dayofweek,stop_dayofweek,start_weekday,start_workweekday,stop_weekday,stop_workweekday,start_hour,stop_hour,start_wokdayhour,stop_wokdayhour,age
49205,2015-03-21 18:10:00,2015-03-21 18:27:00,SEA00064,1032.945,Lake Union Park / Valley St & Boren Ave N,Summit Ave E & E Republican St,SLU-17,CH-03,Short-Term Pass Holder,,,2015,3,Spring,5,5,Saturday,Weekend,Saturday,Weekend,18,18,Evening,Evening,
55028,2015-04-06 19:05:00,2015-04-06 19:10:00,SEA00458,305.108,Pine St & 9th Ave,PATH / 9th Ave & Westlake Ave,SLU-16,SLU-07,Member,Male,1987.0,2015,4,Spring,0,0,Monday,Weekday,Monday,Weekday,19,19,Evening,Evening,28.0
169449,2015-11-27 09:55:00,2015-11-27 09:56:00,SEA00463,82.748,Westlake Ave & 6th Ave,Westlake Ave & 6th Ave,SLU-15,SLU-15,Member,Male,1978.0,2015,11,Fall,4,4,Friday,Weekday,Friday,Weekday,9,9,Work,Work,37.0
176235,2016-01-06 10:00:00,2016-01-06 10:09:00,SEA00099,570.054,12th Ave & E Denny Way,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,CH-06,PS-05,Member,Male,1990.0,2016,1,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,10,10,Work,Work,26.0
35847,2015-02-11 11:38:00,2015-02-11 11:44:00,SEA00316,383.556,9th Ave N & Mercer St,Key Arena / 1st Ave N & Harrison St,DPD-01,SLU-19,Member,Male,1955.0,2015,2,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,11,11,Work,Work,60.0
46630,2015-03-13 11:49:00,2015-03-13 12:14:00,SEA00275,1520.53,1st Ave & Marion St,1st Ave & Marion St,CBD-05,CBD-05,Short-Term Pass Holder,,,2015,3,Spring,4,4,Friday,Weekday,Friday,Weekday,11,12,Work,Work,
30599,2015-01-23 08:28:00,2015-01-23 08:48:00,SEA00055,1226.095,1st Ave & Marion St,Key Arena / 1st Ave N & Harrison St,CBD-05,SLU-19,Member,Male,1968.0,2015,1,Winter,4,4,Friday,Weekday,Friday,Weekday,8,8,Morning,Morning,47.0
11830,2014-11-09 14:06:00,2014-11-09 14:13:00,SEA00403,415.442,Frye Art Museum / Terry Ave & Columbia St,Cal Anderson Park / 11th Ave & Pine St,FH-01,CH-08,Member,Male,1987.0,2014,11,Fall,6,6,Sunday,Weekend,Sunday,Weekend,14,14,Work,Work,27.0
19208,2014-12-05 07:51:00,2014-12-05 08:08:00,SEA00452,963.146,Dexter Ave N & Aloha St,Pine St & 9th Ave,SLU-02,SLU-16,Member,Male,1972.0,2014,12,Winter,4,4,Friday,Weekday,Friday,Weekday,7,8,Morning,Morning,42.0
40304,2015-02-23 13:34:00,2015-02-23 15:26:00,SEA00297,6760.855,Westlake Ave & 6th Ave,Westlake Ave & 6th Ave,SLU-15,SLU-15,Short-Term Pass Holder,,,2015,2,Winter,0,0,Monday,Weekday,Monday,Weekday,13,15,Work,Work,
