,osm_id,timestamp,name,type,geometry,lat,long
0,321710312.0,,State Route 520 & NE 40th St,bus_stop,POINT (-122.1337376 47.6445319),47.6445319,-122.1337376
1,326852725.0,,164th Ave NE & NE 18th St,bus_stop,POINT (-122.1217881 47.6256825),47.6256825,-122.1217881
2,326852869.0,,164th Ave NE & NE 16th Pl,bus_stop,POINT (-122.121599 47.6248796),47.6248796,-122.121599
3,326876448.0,,Sr 520 & NE 40th St,bus_stop,POINT (-122.1353266 47.6452279),47.6452279,-122.1353266
4,331451103.0,,NE 24th St & 180th Ave NE,bus_stop,POINT (-122.1000891 47.6312621),47.6312621,-122.1000891
5,331451181.0,,NE 24th St & 175th Ave NE,bus_stop,POINT (-122.1070891 47.6313064),47.6313064,-122.1070891
6,331451199.0,,NE 24th St & 173rd Ave NE,bus_stop,POINT (-122.1099638 47.6313106),47.6313106,-122.1099638
7,331451449.0,,NE 24th St & 167th Ave NE,bus_stop,POINT (-122.1181382 47.6313785),47.6313785,-122.1181382
8,331451686.0,,164th Ave NE & NE 24th St,bus_stop,POINT (-122.1218278 47.6309266),47.6309266,-122.1218278
9,331451788.0,,164th Ave NE & NE 20th St,bus_stop,POINT (-122.1211845 47.6278768),47.6278768,-122.1211845
10,331453348.0,,164th Ave NE & NE 18th St,bus_stop,POINT (-122.1210399 47.626596),47.626596,-122.1210399
11,333379364.0,,NE Bellevue Redmond Rd & 148th Ave NE,bus_stop,POINT (-122.1451627 47.6261953),47.6261953,-122.1451627
12,333381276.0,,NE Bellevue Redmond Rd & 143rd Ave NE,bus_stop,POINT (-122.150065 47.6251696),47.6251696,-122.150065
13,333381436.0,,NE Bellevue Redmond Rd & 140th Ave NE,bus_stop,POINT (-122.1541451 47.6243739),47.6243739,-122.1541451
14,333382316.0,,NE Bellevue Redmond Rd & 136th Ave NE,bus_stop,POINT (-122.1593356 47.6232656),47.6232656,-122.1593356
15,333382570.0,,Bellevue Redmond Rd & 132nd Ave NE,bus_stop,POINT (-122.1648234 47.6221137),47.6221137,-122.1648234
16,333382947.0,,Bellevue Redmond Rd & 130th Ave NE,bus_stop,POINT (-122.1689312 47.6212551),47.6212551,-122.1689312
17,333383447.0,,NE 12th St & 124th Ave NE,bus_stop,POINT (-122.1754865 47.620012),47.620012,-122.1754865
18,333384409.0,,NE 8th St & 118th Ave NE,bus_stop,POINT (-122.183498 47.6174216),47.6174216,-122.183498
19,333396614.0,,112th Ave NE & NE 4th St,bus_stop,POINT (-122.1910437 47.6126057),47.6126057,-122.1910437
20,333402600.0,,108th Ave SE & SE 3rd St,bus_stop,POINT (-122.196205 47.6076331),47.6076331,-122.196205
21,333814049.0,,108th Ave SE & Bellevue Way SE,bus_stop,POINT (-122.1965804 47.5949472),47.5949472,-122.1965804
22,335044282.0,,156th Ave NE & NE 15th St,bus_stop,POINT (-122.1322871 47.6241129),47.6241129,-122.1322871
23,335056923.0,,156th Ave NE & NE 13th St,bus_stop,POINT (-122.1322754 47.6215297),47.6215297,-122.1322754
24,365777267.0,,Phinney Ave N & N 46th St,bus_stop,POINT (-122.3540916 47.6618236),47.6618236,-122.3540916
25,394381488.0,,112th Ave NE & Main St,bus_stop,POINT (-122.19071 47.6103949),47.6103949,-122.19071
26,457278488.0,,1st Ave S & S 176th St,bus_stop,POINT (-122.3337904 47.4451603),47.4451603,-122.3337904
27,457278489.0,,1st Ave S & SW 176th St,bus_stop,POINT (-122.3341058 47.4453363),47.4453363,-122.3341058
28,457278801.0,,1st Ave S & SW 178th St,bus_stop,POINT (-122.3343266 47.4436566),47.4436566,-122.3343266
29,457278802.0,,1st Ave S & SW Normandy Rd,bus_stop,POINT (-122.3346415 47.4411525),47.4411525,-122.3346415
