,osm_id,timestamp,name,type,geometry,lat,long
0,60665830.0,,Basil Viet Kitchen,restaurant,POINT (-122.313141 47.6554532),47.6554532,-122.313141
1,293558450.0,,Jack in the Box,fast_food,POINT (-122.1659276 47.7536238),47.7536238,-122.1659276
2,293719641.0,,Red Robin,restaurant,POINT (-122.1556091 47.7576892),47.7576892,-122.1556091
3,293722655.0,,Big Fish Grill,restaurant,POINT (-122.1564079 47.7546619),47.7546619,-122.1564079
4,293833085.0,,Taco Time,fast_food,POINT (-122.1536057 47.75484),47.75484,-122.1536057
5,293835831.0,,Herbfarm,restaurant,POINT (-122.147451 47.7331995),47.7331995,-122.147451
6,293835832.0,,Barking Frog,restaurant,POINT (-122.1474339 47.733569),47.733569,-122.1474339
7,293835921.0,,Purple Cafe and Wine Bar - Woodinville,restaurant,POINT (-122.1420281 47.7316091),47.7316091,-122.1420281
8,293835973.0,,Heritage Restaurant|Bar,restaurant,POINT (-122.1409412 47.7324083),47.7324083,-122.1409412
9,293836218.0,,McDonald's,fast_food,POINT (-122.1534168 47.752803),47.752803,-122.1534168
10,293836233.0,,KFC,fast_food,POINT (-122.1533016 47.7518142),47.7518142,-122.1533016
11,295233657.0,,Tokyo Japanese Steakhouse,restaurant,POINT (-122.1611763 47.7533485),47.7533485,-122.1611763
12,295233659.0,,Racha Thai,restaurant,POINT (-122.1602643 47.753334),47.753334,-122.1602643
13,306445119.0,,Mi Tierra,restaurant,POINT (-122.1605967 47.7547288),47.7547288,-122.1605967
14,332083886.0,,Taqueria Guadalajara,fast_food,POINT (-122.1437146 47.63212),47.63212,-122.1437146
15,334955862.0,,Subway,fast_food,POINT (-122.1403152 47.6313336),47.6313336,-122.1403152
16,335046669.0,,International Food Corner,restaurant,POINT (-122.1320427 47.6230749),47.6230749,-122.1320427
17,335047073.0,,Off the Rails Sport Bar,bar,POINT (-122.1315621 47.6230633),47.6230633,-122.1315621
18,335048098.0,,Subway,fast_food,POINT (-122.1320599 47.6226617),47.6226617,-122.1320599
19,335052583.0,,Westernco Donut,fast_food,POINT (-122.132058 47.6227281),47.6227281,-122.132058
20,335068285.0,,Domino's,fast_food,POINT (-122.1279504 47.617386),47.617386,-122.1279504
21,335068292.0,,Ten Seconds Yunnan Rice Noodle,restaurant,POINT (-122.1279624 47.6172615),47.6172615,-122.1279624
22,336194978.0,,Starbucks,cafe,POINT (-122.1411674 47.6281301),47.6281301,-122.1411674
23,339935528.0,,Mediterranean Grill,restaurant,POINT (-122.1350319 47.6287068),47.6287068,-122.1350319
24,340336013.0,,Spice Route,restaurant,POINT (-122.1449125 47.6307146),47.6307146,-122.1449125
25,340336014.0,,Chuck E. Cheese's,restaurant,POINT (-122.1449303 47.6304854),47.6304854,-122.1449303
26,340337966.0,,Cafe Ori,restaurant,POINT (-122.1489543 47.6271572),47.6271572,-122.1489543
27,340338866.0,,Sizzling Pot King,restaurant,POINT (-122.1510485 47.6271167),47.6271167,-122.1510485
28,340338867.0,,Thai Kitchen,restaurant,POINT (-122.1520417 47.627246),47.627246,-122.1520417
29,340338963.0,,Blue Ginger,restaurant,POINT (-122.1524819 47.6276431),47.6276431,-122.1524819
30,340340361.0,,MonGa Cafe,cafe,POINT (-122.1448865 47.6268807),47.6268807,-122.1448865
31,340340742.0,,Photai,restaurant,POINT (-122.144297 47.6274173),47.6274173,-122.144297
32,340340743.0,,Little Garden,restaurant,POINT (-122.1437896 47.6276051),47.6276051,-122.1437896
33,343484718.0,,Starbucks,cafe,POINT (-122.1441113 47.6297257),47.6297257,-122.1441113
34,346521344.0,,Mandarin Buffet & Grill,restaurant,POINT (-122.141844 47.6325808),47.6325808,-122.141844
35,346521484.0,,Starbucks,cafe,POINT (-122.1405142 47.6324527),47.6324527,-122.1405142
36,346526865.0,,Nasai Teriyaki,restaurant,POINT (-122.1380782 47.6320711),47.6320711,-122.1380782
37,346526866.0,,Qdoba,fast_food,POINT (-122.1383196 47.6318975),47.6318975,-122.1383196
38,347255980.0,,Pho Hoa Noodle Soup,restaurant,POINT (-122.1382979 47.6310884),47.6310884,-122.1382979
39,347255984.0,,Regent Bakery & Cafe,restaurant,POINT (-122.1382925 47.6308353),47.6308353,-122.1382925
40,347255986.0,,The Bento Box,restaurant,POINT (-122.1389834 47.6304398),47.6304398,-122.1389834
41,347256907.0,,Sichuanese Cuisine,restaurant,POINT (-122.1403152 47.6312161),47.6312161,-122.1403152
42,347256908.0,,Yumiko's Teriyaki,restaurant,POINT (-122.1403178 47.6312685),47.6312685,-122.1403178
43,347259508.0,,Kabob Palace,restaurant,POINT (-122.1369704 47.6321379),47.6321379,-122.1369704
44,347259509.0,,Seoul Hot Pot,restaurant,POINT (-122.1370267 47.6323693),47.6323693,-122.1370267
45,347259510.0,,Sapporo Teriyaki,restaurant,POINT (-122.1370321 47.6325735),47.6325735,-122.1370321
46,347259516.0,,Pizza Hut,restaurant,POINT (-122.1372226 47.6329586),47.6329586,-122.1372226
47,352555200.0,,Jersey Mike's Subs,fast_food,POINT (-122.1367274 47.6319291),47.6319291,-122.1367274
