,osm_id,timestamp,name,type,geometry,lat,long
0,352507131.0,,Spectrum Academy,school,POINT (-122.1346611 47.6326283),47.6326283,-122.1346611
1,356540040.0,,Evergreen Educational Complex,school,POINT (-122.3451408 47.5004546),47.5004546,-122.3451408
2,356540545.0,,Mapleleaf School,school,POINT (-122.2945609 47.7013676),47.7013676,-122.2945609
3,356540551.0,,Hazel Wolf K-8,school,POINT (-122.3221899 47.6772572),47.6772572,-122.3221899
4,356540723.0,,Norkirk School,school,POINT (-122.2004116 47.6901157),47.6901157,-122.2004116
5,356540971.0,,Rich Whitman School,school,POINT (-122.3665199 47.778986),47.778986,-122.3665199
6,356541142.0,,Saint Anthony School,school,POINT (-122.2128179 47.4786752),47.4786752,-122.2128179
7,356541612.0,,Forest Ridge School of the Sacred Heart,school,POINT (-122.1545785 47.558703),47.558703,-122.1545785
8,356541616.0,,May Valley School,school,POINT (-122.1198423 47.5031561),47.5031561,-122.1198423
9,356541628.0,,Saint John School,school,POINT (-122.3571254 47.6864503),47.6864503,-122.3571254
10,356541630.0,,Epic Life Academy,school,POINT (-122.3415805 47.705322),47.705322,-122.3415805
11,356541632.0,,Christ the King Elementary School,school,POINT (-122.3531952 47.7135227),47.7135227,-122.3531952
12,356541634.0,,Highland Terrace Elementary School,school,POINT (-122.3590799 47.7456435),47.7456435,-122.3590799
13,356541685.0,,Assumption Saint Bridget School,school,POINT (-122.2929699 47.6745032),47.6745032,-122.2929699
14,356541718.0,,Crest Learning Center,school,POINT (-122.2233143 47.5718129),47.5718129,-122.2233143
15,356541760.0,,Our Lady of Lourdes School,school,POINT (-122.3185365 47.5110675),47.5110675,-122.3185365
16,356541772.0,,Saint Edward Parish School,school,POINT (-122.2804409 47.5506523),47.5506523,-122.2804409
17,356542011.0,,Edmonds Junior High School,school,POINT (-122.3751505 47.81438),47.81438,-122.3751505
18,356542817.0,,Moorlands Elementary School,school,POINT (-122.2309113 47.7386508),47.7386508,-122.2309113
19,356543157.0,,Westhill Elementary School,school,POINT (-122.224845 47.7702978),47.7702978,-122.224845
20,356543393.0,,Cedar Park Christian School,school,POINT (-122.3062402 47.7839863),47.7839863,-122.3062402
21,356543408.0,,Sahalee School,school,POINT (-122.3234647 47.8167634),47.8167634,-122.3234647
22,356543411.0,,Stein School,school,POINT (-122.3304091 47.8098191),47.8098191,-122.3304091
23,356543412.0,,Brighton School,school,POINT (-122.310408 47.801486),47.801486,-122.310408
24,356543416.0,,Saint Pius X School,school,POINT (-122.3106855 47.7975971),47.7975971,-122.3106855
25,356543418.0,,Sno-King Lutheran School,school,POINT (-122.3751646 47.8143048),47.8143048,-122.3751646
26,356543428.0,,Hilltop Elementary School,school,POINT (-122.2423507 47.8123196),47.8123196,-122.2423507
27,356543433.0,,Maltby Elementary School,school,POINT (-122.1149292 47.8052417),47.8052417,-122.1149292
28,356543684.0,,Learning Garden School,school,POINT (-122.1675029 47.6319009),47.6319009,-122.1675029
29,356543693.0,,Cedar River School of Renton,school,POINT (-122.1334531 47.4684338),47.4684338,-122.1334531
30,356543696.0,,Renton Christian School,school,POINT (-122.2198439 47.482322),47.482322,-122.2198439
31,356543720.0,,Learning Way School,school,POINT (-122.3602026 47.520864),47.520864,-122.3602026
32,356543721.0,,Seattle Waldorf School - Main Campus,school,POINT (-122.297313 47.7016247),47.7016247,-122.297313
33,356543722.0,,Concordia Lutheran School,school,POINT (-122.289107 47.6806913),47.6806913,-122.289107
34,356543729.0,,Northwest Montessori School,school,POINT (-122.3535721 47.6648914),47.6648914,-122.3535721
35,356543739.0,,Sunset Intermediate School,school,POINT (-122.369147 47.7581002),47.7581002,-122.369147
36,356543741.0,,King's Junior and Senior High School,school,POINT (-122.3533338 47.768826),47.768826,-122.3533338
37,356543744.0,,Shoreline Christian School,school,POINT (-122.3030701 47.7362304),47.7362304,-122.3030701
38,356543746.0,,Hurray for Me School,school,POINT (-122.3709639 47.7692638),47.7692638,-122.3709639
39,356543748.0,,Parkwood Elementary School,school,POINT (-122.3365398 47.7407265),47.7407265,-122.3365398
40,356543751.0,,North Creek Montessori School,school,POINT (-122.2116814 47.8199102),47.8199102,-122.2116814
41,356543755.0,,Whole Earth Montessori School,school,POINT (-122.1936146 47.7903807),47.7903807,-122.1936146
42,356543758.0,,Crystal Springs Elementary School,school,POINT (-122.2202981 47.8011586),47.8011586,-122.2202981
43,356543766.0,,Evergreen Academy,school,POINT (-122.182756 47.7443756),47.7443756,-122.182756
44,356543767.0,,Woodinville Montessori School,school,POINT (-122.1511002 47.7479231),47.7479231,-122.1511002
45,356543786.0,,Bjorn Lih Primary School,school,POINT (-122.3483808 47.6648284),47.6648284,-122.3483808
46,356543789.0,,Northwest Childrens Academy,school,POINT (-122.3309496 47.6284814),47.6284814,-122.3309496
47,356543871.0,,Dearborn Park International Elementary School,school,POINT (-122.296345 47.5523537),47.5523537,-122.296345
48,356543874.0,,Happy Medium School,school,POINT (-122.3067923 47.6037097),47.6037097,-122.3067923
49,356543929.0,,Hope Lutheran School,school,POINT (-122.3851449 47.5643698),47.5643698,-122.3851449
50,356543930.0,,Calvary Luthern School,school,POINT (-122.3755717 47.5266659),47.5266659,-122.3755717
51,356543933.0,,Westside School,school,POINT (-122.3837814 47.5685719),47.5685719,-122.3837814
52,356543934.0,,West Seattle Montessori School,school,POINT (-122.3797714 47.5617552),47.5617552,-122.3797714
53,356543986.0,,A+ Alternative School,school,POINT (-122.1613021 47.6231368),47.6231368,-122.1613021
54,356543992.0,,Eastside Academic School of Transit,school,POINT (-122.173734 47.6209326),47.6209326,-122.173734
55,356544025.0,,Bear Creek Elementary School,school,POINT (-122.0803351 47.7591662),47.7591662,-122.0803351
56,356544052.0,,Green Lake Christian School,school,POINT (-122.326794 47.6825981),47.6825981,-122.326794
57,356547716.0,,Inglemoor High School,school,POINT (-122.2221582 47.7405099),47.7405099,-122.2221582
58,356547717.0,,Island Park Elementary School,school,POINT (-122.2226222 47.5535801),47.5535801,-122.2226222
59,356548004.0,,Saint Matthew School,school,POINT (-122.3136284 47.7216287),47.7216287,-122.3136284
60,356548005.0,,Evergreen School,school,POINT (-122.3354133 47.7386998),47.7386998,-122.3354133
61,356548009.0,,McMurray Middle School,school,POINT (-122.4545993 47.4281839),47.4281839,-122.4545993
62,356548027.0,,Latona Elementary School,school,POINT (-122.3238073 47.6572622),47.6572622,-122.3238073
63,356548055.0,,Cottage Lake Elementary School,school,POINT (-122.0794051 47.7450006),47.7450006,-122.0794051
64,356548078.0,,Alexander Graham Bell Elementary School,school,POINT (-122.1919629 47.7016472),47.7016472,-122.1919629
65,356548087.0,,Cascade Middle School,school,POINT (-122.3456825 47.5022056),47.5022056,-122.3456825
66,356548143.0,,Lakeridge Elementary School,school,POINT (-122.2289494 47.5322934),47.5322934,-122.2289494
67,356548263.0,,John Muir Annex School,school,POINT (-122.2956805 47.5875987),47.5875987,-122.2956805
68,356551450.0,,Elizabeth Blackwell Elementary School,school,POINT (-122.0671219 47.6386581),47.6386581,-122.0671219
69,356551456.0,,Career Link School,school,POINT (-122.3310438 47.5812781),47.5812781,-122.3310438
70,356551476.0,,Challenge Elementary,school,POINT (-122.3068534 47.7924939),47.7924939,-122.3068534
71,356551481.0,,Chautauqua Elementary School,school,POINT (-122.4528264 47.4274908),47.4274908,-122.4528264
72,356551509.0,,Evergreen Junior High School,school,POINT (-122.0607282 47.6676755),47.6676755,-122.0607282
73,356551546.0,,Hutch School,school,POINT (-122.3331 47.6237),47.6237,-122.3331
74,356551551.0,,Interagency Alder Academy,school,POINT (-122.3155949 47.6047959),47.6047959,-122.3155949
75,356551574.0,,Kokanee Elementary School,school,POINT (-122.1595886 47.7820955),47.7820955,-122.1595886
76,356551685.0,,Russell Ridge Center,school,POINT (-122.048136 47.3968208),47.3968208,-122.048136
77,356551687.0,,Interagency Ryther Center,school,POINT (-122.3034929 47.6979629),47.6979629,-122.3034929
78,356551715.0,,Sunset Elementary School,school,POINT (-122.3692 47.7583),47.7583,-122.3692
79,356551723.0,,Terrace Park School,school,POINT (-122.3069565 47.7928982),47.7928982,-122.3069565
80,356551730.0,,Timbercrest Middle School,school,POINT (-122.0517364 47.7662718),47.7662718,-122.0517364
81,356551734.0,,Issaquah School District Transition School,school,POINT (-122.0450969 47.5366996),47.5366996,-122.0450969
82,356552049.0,,Springhurst School,school,POINT (-122.1760076 47.6960313),47.6960313,-122.1760076
83,356552050.0,,Shorewood Christian School,school,POINT (-122.3692284 47.5104111),47.5104111,-122.3692284
84,356552051.0,,Margaret Mead Elementary School,school,POINT (-122.0531125 47.6255317),47.6255317,-122.0531125
85,356552053.0,,Shoreline School District Office - Communication,school,POINT (-122.3285002 47.7642971),47.7642971,-122.3285002
86,356552056.0,,Discovery Community School,school,POINT (-122.2304247 47.7160132),47.7160132,-122.2304247
87,356552076.0,,Emerald Heights Academy,school,POINT (-122.1316442 47.5755303),47.5755303,-122.1316442
88,356552086.0,,Eton Veladare Academy,school,POINT (-122.1308181 47.6328239),47.6328239,-122.1308181
89,356552087.0,,The Learning Center,school,POINT (-122.0528357 47.6241945),47.6241945,-122.0528357
90,356552118.0,,Discovery Elementary School,school,POINT (-122.0340709 47.5891389),47.5891389,-122.0340709
91,356552123.0,,Discovery Montessori School,school,POINT (-122.4005483 47.6458921),47.6458921,-122.4005483
92,356552125.0,,Perkins School,school,POINT (-122.3179475 47.6942296),47.6942296,-122.3179475
93,356552126.0,,Carpe Diem Primary School,school,POINT (-122.4598757 47.4460852),47.4460852,-122.4598757
94,356552129.0,,Renton Christian School,school,POINT (-122.1395149 47.4625956),47.4625956,-122.1395149
95,356552130.0,,Marymoor Montessori School,school,POINT (-122.1152176 47.6490216),47.6490216,-122.1152176
96,356552135.0,,Arbor Elementary School,school,POINT (-122.0361986 47.5998613),47.5998613,-122.0361986
97,356552142.0,,Matheia School,school,POINT (-122.3847228 47.6774857),47.6774857,-122.3847228
98,356552153.0,,Northshore Montessori School,school,POINT (-122.240332 47.7574451),47.7574451,-122.240332
99,356552167.0,,Cougar Mountain Montessori School,school,POINT (-122.1296825 47.5670053),47.5670053,-122.1296825
100,356552173.0,,Little Folks Christian School,school,POINT (-122.1178029 47.6853619),47.6853619,-122.1178029
