lat,long,TripCount
47.5,-122.27,11
47.51,-122.35,7
47.51,-122.28,3
47.51,-122.27,17
47.51,-122.26,12
47.52,-122.39,19
47.52,-122.38,3
47.52,-122.37,12
47.52,-122.36,21
47.52,-122.35,3
47.52,-122.28,7
47.52,-122.27,160
47.52,-122.26,154
47.53,-122.39,10
47.53,-122.36,24
47.53,-122.35,51
47.53,-122.34,3
47.53,-122.32,6
47.53,-122.31,3
47.53,-122.28,401
47.53,-122.27,298
47.53,-122.26,76
47.54,-122.39,9
47.54,-122.38,17
47.54,-122.37,5
47.54,-122.36,11
47.54,-122.35,53
47.54,-122.33,12
47.54,-122.32,40
47.54,-122.31,25
47.54,-122.3,3
47.54,-122.29,11
47.54,-122.28,207
47.54,-122.27,129
47.54,-122.26,12
47.54,-122.25,34
47.55,-122.39,27
47.55,-122.38,34
47.55,-122.36,6
47.55,-122.35,54
47.55,-122.32,52
47.55,-122.31,4
47.55,-122.3,22
47.55,-122.29,34
47.55,-122.28,177
47.55,-122.27,41
47.55,-122.26,21
47.55,-122.25,12
47.56,-122.4,81
47.56,-122.39,8
47.56,-122.38,122
47.56,-122.37,116
47.56,-122.36,115
47.56,-122.35,8
47.56,-122.34,7
47.56,-122.33,142
47.56,-122.32,345
47.56,-122.31,10
47.56,-122.29,151
47.56,-122.28,148
47.56,-122.27,34
47.56,-122.26,12
47.56,-122.25,3
47.57,-122.41,1472
47.57,-122.4,231
47.57,-122.39,6
47.57,-122.38,52
47.57,-122.37,171
47.57,-122.36,6
47.57,-122.34,55
47.57,-122.33,468
47.57,-122.32,352
47.57,-122.31,74
47.57,-122.3,47
47.57,-122.29,216
47.57,-122.28,59
47.57,-122.27,18
47.58,-122.4,1679
47.58,-122.39,464
47.58,-122.38,727
47.58,-122.37,416
47.58,-122.36,3
47.58,-122.34,14
47.58,-122.33,1580
47.58,-122.32,1823
47.58,-122.31,154
47.58,-122.3,219
47.58,-122.29,45
47.58,-122.28,14
47.59,-122.39,53
47.59,-122.38,1318
47.59,-122.33,5231
47.59,-122.32,5721
47.59,-122.31,1672
47.59,-122.3,1041
47.59,-122.29,528
