,rte,rte_desc,stop_id,stop_name,lat,long,address
0,90,MAX Red Line,10120,Washington Park MAX Station,45.51065699999999,-122.716792,"Washington Park MAX Station, Portland, OR 97221, USA"
1,90,MAX Red Line,10118,Goose Hollow/SW Jefferson St MAX Station,45.5180272,-122.6936889,"Goose Hollow/SW Jefferson St, Portland, OR 97201, USA"
2,90,MAX Red Line,9758,Providence Park MAX Station,45.5213658,-122.6900786,"Providence Park, Portland, OR 97205, USA"
3,90,MAX Red Line,8333,Library/SW 9th Ave MAX Station,45.5192529,-122.6819867,"Library/SW 9th Ave, Portland, OR 97205, USA"
4,90,MAX Red Line,8334,Pioneer Square South MAX Station,45.5185545,-122.6793104,"Pioneer Square South, Portland, OR 97204, USA"
5,90,MAX Red Line,8336,Yamhill District MAX Station,45.5172237,-122.6744722,"Yamhill District, Portland, OR 97204, USA"
6,90,MAX Red Line,8337,Oak/ SW 1st Ave MAX Station,45.5199606,-122.6723278,"Oak Street / SW 1st Ave Eastbound, Portland, OR 97204, USA"
7,90,MAX Red Line,8338,Skidmore Fountain MAX Station,45.522984,-122.671323,"Skidmore Fountain, Portland, OR 97204, USA"
8,90,MAX Red Line,8339,Old Town/Chinatown MAX Station,45.5250661,-122.6713622,"Old Town/Chinatown MAX Station, Portland, OR 97209, USA"
9,90,MAX Red Line,8340,Rose Quarter TC MAX Station,45.5301346,-122.6652481,"Rose Quarter Transit Center, NE Holladay St, Portland, OR 97232, USA"
10,90,MAX Red Line,8341,Convention Center MAX Station,45.53005,-122.66217,"Convention Center, Portland, OR 97232, USA"
11,90,MAX Red Line,8342,NE 7th Ave MAX Station,45.5300567,-122.6579352,"NE 7th Ave, Portland, OR 97232, USA"
12,90,MAX Red Line,8343,Lloyd Center/NE 11th Ave MAX Station,45.5300884,-122.6538198,"Lloyd Center/NE 11th Ave, Portland, OR 97232, USA"
13,90,MAX Red Line,8344,Hollywood/NE 42nd Ave TC MAX Station,45.5329016,-122.6211318,"Hollywood/NE 42nd Ave TC, Portland, OR 97213, USA"
14,90,MAX Red Line,8345,NE 60th Ave MAX Station,45.5287727,-122.6024306,"TriMet MAX Stop, Portland, OR 97213, USA"
15,90,MAX Red Line,8346,NE 82nd Ave MAX Station,45.5334245,-122.5783617,"NE 82nd Ave, Portland, OR 97220, USA"
16,90,MAX Red Line,8347,Gateway/NE 99th Ave TC MAX Station,45.5306376,-122.5636116,"Gateway/NE 99th Ave TC MAX Station, Portland, OR 97220, USA"
17,90,MAX Red Line,10572,Parkrose/Sumner TC MAX Station,45.559015,-122.56562,"Parkrose/Sumner TC, Portland, OR 97220, USA"
18,90,MAX Red Line,10574,Cascades MAX Station,45.5723543,-122.5581409,"Cascades, Portland, OR 97220, USA"
19,90,MAX Red Line,10576,Mt Hood Ave MAX Station,45.5772546,-122.5671405,"Mt Hood Ave, Portland, OR 97220, USA"
20,90,MAX Red Line,10579,Portland Int'l Airport MAX Station,45.587584,-122.5931,"Portland Int'l Airport Station, Portland, OR 97218, USA"
21,90,MAX Red Line,10579,Portland Int'l Airport MAX Station,45.587584,-122.5931,"Portland Int'l Airport Station, Portland, OR 97218, USA"
22,90,MAX Red Line,10577,Mt Hood Ave MAX Station,45.5772546,-122.5671405,"Mt Hood Ave, Portland, OR 97220, USA"
23,90,MAX Red Line,10575,Cascades MAX Station,45.5723543,-122.5581409,"Cascades, Portland, OR 97220, USA"
24,90,MAX Red Line,10573,Parkrose/Sumner TC MAX Station,45.559015,-122.56562,"Parkrose/Sumner TC, Portland, OR 97220, USA"
25,90,MAX Red Line,8370,Gateway/NE 99th Ave TC MAX Station,45.5306376,-122.5636116,"Gateway/NE 99th Ave TC MAX Station, Portland, OR 97220, USA"
26,90,MAX Red Line,8371,NE 82nd Ave MAX Station,45.5334245,-122.5783617,"NE 82nd Ave, Portland, OR 97220, USA"
